Project,BHK,Location,total_floors,Carpet Area,Super Area,Price,Price Per Sqft
Yash Grecia,3,Yash Grecia,14,828,1300,7300000,5615
Majestique Marbella,2,Majestique Marbella,14,826,1180,8910000,7552
Avior Up Life Phase 2 Emerald,3,Avior Up Life Phase 2 Emerald,14,980,1244,6700000,5386
Majestique Marbella,2,EON Free Zone,18,824,1176,8900000,7568
Majestique Rhythm County,3,Majestique Rhythm County,15,826,1100,4900000,4455
Sukhwani Hermosa Casa,3,Sukhwani Hermosa Casa,15,951,1150,9200000,8000
Kalpataru Jade Skyline,3,Kalpataru Jade Skyline,22,1190,1606,14400000,8966
SKYi Songbirds,3,Bhugaon,12,1100,1508,10800000,7162
Flamante By VTP Luxe Phase 1,2,Flamante By VTP Luxe Phase 1,20,832,1100,8700000,7909
Sky High Towers,2,Sky High Towers,23,688,963,6100000,6334
Pride Wellington,2,Pride Wellington,23,780,1053,6720000,6384
Ashtavinayak City,2,Ashtavinayak City,10,880,1000,6500000,6500
Lodha Panache,3,Lodha Panache,27,1150,1547,12200000,7888
Kumar Parc Residences,3,Kumar Parc Residences,30,1107,1400,14500000,10357
Emirus,4,Emirus,22,2389,2939,43900000,14937
Panchshil Eon Free Zone,3,Panchshil Eon Free Zone,27,1700,2843,35000000,12311
Nyati Ethos,3,Nyati Ethos,12,1300,1557,9400000,6037
Rohan Mithila,2,Rohan Mithila,6,1195,1400,10200000,7286
Majestique Towers,2,Majestique Towers,15,810,1113,10500000,9434
K PUNE,3,K PUNE,24,812,1096,9510000,8679
Goel Ganga Legend County,3,Goel Ganga Legend County,23,1247,1667,13100000,7858
Pride World City,2,Pride World City,23,780,1049,5870000,5594
Gera World of Joy,2,Gera World of Joy,6,1650,2012,22200000,11034
Marvel Enigma,3,EON Free Zone,12,1700,2235,22500000,10067
Ambrosia Alley,2,Ambrosia Alley,15,798,1100,8700000,7909
K Town Kiwale,3,Ravet,16,999,1400,7900000,5643
ARV New Town,3,ARV New Town,11,1070,1299,5650000,4349
VTP Township Codename Pegasus,3,Kharadi Gaon,30,1417,1912,11000000,5753
Majestique Rhythm County,3,Majestique Rhythm County,14,892,1100,6500000,5909
Pristine Allure,3,Pristine Allure,15,1000,1323,11500000,8692
Lodha Panache,2,Lodha Panache,28,875,1000,10200000,10200
Gera World of Joy,3,Gera World of Joy,14,1200,1688,17500000,10367
