Society,Card Title,Carpet Area,Price,Price Per Sqft,Floor
Codename TechD,"2 BHK Flat  for Sale in  Codename TechD, Bhugaon, Bavdhan, Pune",785 sqft,₹75 Lac,"₹7,077 per sqft",
Kohinoor Shangrila,"2 BHK Flat  for Sale in  Kohinoor Shangrila, Pimpri, Pune",732 sqft,₹88 Lac,,
Venkatesh Skydale,"2 BHK Flat  for Sale in  Venkatesh Skydale, Sinhgad Road, Pune",1014 sqft,₹1.76 Cr,,
Mantra Mirari,"4 BHK Flat  for Sale in  Mantra Mirari, Mundhwa, Pune",1563 sqft,₹2.39 Cr,,
Pride World City,"2 BHK Flat  for Sale in  Pride World City, Charholi BK, Pune",786 sqft,₹71.2 Lac,,
Aqura Pride,"2 BHK Flat  for Sale in  Aqura Pride, Sinhgad Road, Pune",594 sqft,₹71 Lac,,
Arbor Vista,"2 BHK Flat  for Sale in  Arbor Vista, Wakad, Pune",755 sqft,₹82 Lac,"₹7,869 per sqft",
Adi Amma Insperia,"2 BHK Flat  for Sale in  Adi Amma Insperia, Rahatani, Pune",744 sqft,₹97.2 Lac,"₹9,461 per sqft",
NYATI EQUINOX,"3 BHK Flat  for Sale in  NYATI EQUINOX, Bavdhan, Pune",1213 sqft,₹1.42 Cr,"₹8,700 per sqft",
K Ville,"3 BHK Flat  for Sale in  K Ville, Ravet, Pimpri Chinchwad, Pune",990 sqft,₹91.6 Lac,,13
TCG Cliff Gardens VC Homes,"2 BHK Flat  for Sale in  TCG Cliff Gardens VC Homes, Hinjawadi, Pune",658 sqft,₹65.3 Lac,,
Paradise Cooperative Housing Society,"2 BHK Flat  for Sale in  Paradise Cooperative Housing Society, Wanwadi, Pune",673 sqft,₹84 Lac,,
Sensorium,"2 BHK Apartment for Sale in Sensorium, Hinjawadi Pune",783 sqft,₹89 Lac,,
Dream Elegance,"3 BHK Apartment for Sale in Dream Elegance, Balewadi Pune",1223 sqft,₹1.76 Cr,"₹10,669 per sqft",
Aryaban,"3 BHK Apartment for Sale in Aryaban, Kiwale, Dehu Road Pune",1009 sqft,₹86.8 Lac,,
Signature Ritz,"3 BHK Apartment for Sale in Signature Ritz, Thergaon, Pimpri Chinchwad Pune",1081 sqft,₹1.21 Cr,,
Rohan Ekam,"4 BHK Apartment for Sale in Rohan Ekam, Balewadi Pune",2158 sqft,₹3.08 Cr,,
Elina Liva,"2 BHK Apartment for Sale in Elina Liva, NIBM Annexe Area Pune",822 sqft,₹85.5 Lac,,
VTP Bellissimo,"2 BHK Apartment for Sale in VTP Bellissimo, Hinjawadi Pune",735 sqft,₹81 Lac,"₹9,643 per sqft",
Ganga Avanta,"3 BHK Apartment for Sale in Ganga Avanta, Mundhwa Pune",,₹1.59 Cr,"₹13,071 per sqft",
Kumar Parth Tower,"2 BHK Apartment for Sale in Kumar Parth Tower, Baner Pune",798 sqft,₹82 Lac,,
Geras Island of Joy,"2 BHK Apartment for Sale in Geras Island of Joy, Wagholi Pune",722 sqft,₹83.9 Lac,,
Life Republic Sector R22 Avenue Atmos,"3 BHK Apartment for Sale in Life Republic Sector R22 Avenue Atmos, Hinjawadi Pune",931 sqft,₹78 Lac,,
Vision Altia,"3 BHK Apartment for Sale in Vision Altia, Ravet, Pimpri Chinchwad Pune",894 sqft,₹81.8 Lac,"₹6,784 per sqft",
,2 BHK Apartment for Sale in Ganesh Nagar Ravet Pune,704 sqft,₹64.7 Lac,"₹7,760 per sqft",8 out of 12
Majestique Marbella,"2 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",826 sqft,₹1.04 Cr,,
Godrej Emerald Waters,"3 BHK Apartment for Sale in Godrej Emerald Waters, Pimpri Pune",,₹1.65 Cr,"₹14,667 per sqft",
Kasturi Eon Homes,"3 BHK Apartment for Sale in Kasturi Eon Homes, Hinjawadi Pune",1145 sqft,₹1.22 Cr,"₹9,723 per sqft",
Lodha Estilo,"4 BHK Apartment for Sale in Lodha Estilo, Wagholi Pune",1615 sqft,₹2.77 Cr,"₹12,735 per sqft",
VTP Earth One,"2 BHK Apartment for Sale in VTP Earth One, Mahalunge Pune",673 sqft,₹82.8 Lac,"₹8,618 per sqft",
Blue Ridge,"2 BHK Apartment for Sale in Blue Ridge, Hinjawadi Pune",867 sqft,₹95 Lac,"₹8,297 per sqft",10 out of 25
,"4 BHK Apartment for Sale in Punawale, Pimpri Chinchwad Pune",1302 sqft,₹1.31 Cr,"₹7,473 per sqft",15 out of 21
,4 BHK Apartment for Sale in Balewadi Pune,2245 sqft,₹3.95 Cr,"₹13,032 per sqft",14 out of 34
57 Elevate,"3 BHK Apartment for Sale in 57 Elevate, Wakad Pune",1010 sqft,₹1 Cr,"₹7,331 per sqft",18 out of 35
Goel Ganga Avanta,"3 BHK Apartment for Sale in Goel Ganga Avanta, Magarpatta Road Pune",1060 sqft,₹1.40 Cr,"₹9,459 per sqft",5 out of 30
Shubh Tristar,"3 BHK Apartment for Sale in Shubh Tristar, Koregaon Park Annexe, Mundhwa Pune",1268 sqft,₹1.60 Cr,"₹9,699 per sqft",13 out of 45
Basil Maximus,"2 BHK Apartment for Sale in Basil Maximus, Punawale, Pimpri Chinchwad Pune",749 sqft,₹67 Lac,"₹6,879 per sqft",15 out of 19
Zen Estate,"3 BHK Apartment for Sale in Zen Estate, Kharadi Pune",1120 sqft,₹1.28 Cr,"₹8,127 per sqft",5 out of 13
Kohinoor Kaleido,"2 BHK Apartment for Sale in Kohinoor Kaleido, Kharadi Pune",720 sqft,₹75 Lac,,10 out of 19
The Canary,"3 BHK Apartment for Sale in The Canary, Balewadi Pune",1371 sqft,₹1.72 Cr,"₹9,297 per sqft",18 out of 30
Geras Island of Joy,"2 BHK Apartment for Sale in Geras Island of Joy, Wagholi Pune",840 sqft,₹95.3 Lac,"₹8,403 per sqft",
,3 BHK Apartment for Sale in Tathawade Pimpri Chinchwad Pune,1041 sqft,₹1.21 Cr,"₹8,067 per sqft",12 out of 30
Lodha Panache,"2 BHK Apartment for Sale in Lodha Panache, Hinjawadi Pune",860 sqft,₹1.06 Cr,"₹9,214 per sqft",
